Variable Name,Question text,Survey Question ID
startdate,Start Date,"{""ImportId"":""startDate""}"
enddate,End Date,"{""ImportId"":""endDate""}"
status,Response Type,"{""ImportId"":""status""}"
progress,Progress,"{""ImportId"":""progress""}"
duration (in seconds),Duration (in seconds),"{""ImportId"":""duration""}"
finished,Finished,"{""ImportId"":""finished""}"
recordeddate,Recorded Date,"{""ImportId"":""recordedDate""}"
responseid,Response ID,"{""ImportId"":""_recordId""}"
recipientlastname,Recipient Last Name,"{""ImportId"":""recipientLastName""}"
recipientfirstname,Recipient First Name,"{""ImportId"":""recipientFirstName""}"
recipientemail,Recipient Email,"{""ImportId"":""recipientEmail""}"
externalreference,External Data Reference,"{""ImportId"":""externalDataReference""}"
distributionchannel,Distribution Channel,"{""ImportId"":""distributionChannel""}"
informedconsent,Do you wish to continue with the survey?,"{""ImportId"":""QID96""}"
moa1#1_1,Financially independent,"{""ImportId"":""QID1#1_1""}"
moa1#1_2,No longer living in parents' household,"{""ImportId"":""QID1#1_2""}"
moa1#1_3,Finished with education,"{""ImportId"":""QID1#1_3""}"
moa1#1_4,Married,"{""ImportId"":""QID1#1_4""}"
moa1#1_5,Have at least one child,"{""ImportId"":""QID1#1_5""}"
moa1#1_6,Settled into a long-term career,"{""ImportId"":""QID1#1_6""}"
moa1#1_7,Avoid becoming drunk,"{""ImportId"":""QID1#1_7""}"
moa1#1_8,Avoid illegal drugs,"{""ImportId"":""QID1#1_8""}"
moa1#1_9,Use contraception if sexually active and not trying to conceive a child,"{""ImportId"":""QID1#1_9""}"
moa1#1_10,Committed to long-term love relationship,"{""ImportId"":""QID1#1_10""}"
moa1#2_1,Financially independent,"{""ImportId"":""QID1#2_1""}"
moa1#2_2,No longer living in parents' household,"{""ImportId"":""QID1#2_2""}"
moa1#2_3,Finished with education,"{""ImportId"":""QID1#2_3""}"
moa1#2_4,Married,"{""ImportId"":""QID1#2_4""}"
moa1#2_5,Have at least one child,"{""ImportId"":""QID1#2_5""}"
moa1#2_6,Settled into a long-term career,"{""ImportId"":""QID1#2_6""}"
moa1#2_7,Avoid becoming drunk,"{""ImportId"":""QID1#2_7""}"
moa1#2_8,Avoid illegal drugs,"{""ImportId"":""QID1#2_8""}"
moa1#2_9,Use contraception if sexually active and not trying to conceive a child,"{""ImportId"":""QID1#2_9""}"
moa1#2_10,Committed to long-term love relationship,"{""ImportId"":""QID1#2_10""}"
moa2#1_1,Make independent decisions,"{""ImportId"":""QID2#1_1""}"
moa2#1_2,Become capable of supporting a family financially,"{""ImportId"":""QID2#1_2""}"
moa2#1_3,Become capable of caring for children,"{""ImportId"":""QID2#1_3""}"
moa2#1_4,Accept responsibility for your actions,"{""ImportId"":""QID2#1_4""}"
moa2#1_5,Be employed full-time,"{""ImportId"":""QID2#1_5""}"
moa2#1_6,Avoid drunk driving,"{""ImportId"":""QID2#1_6""}"
moa2#1_7,Establish a relationship with parents as an equal adult,"{""ImportId"":""QID2#1_7""}"
moa2#1_8,Learn always to have good control of your emotions,"{""ImportId"":""QID2#1_8""}"
moa2#1_9,"Become less self-oriented, develop greater consideration for others","{""ImportId"":""QID2#1_9""}"
moa2#1_10,Capable of supporting parents financially,"{""ImportId"":""QID2#1_10""}"
moa2#2_1,Make independent decisions,"{""ImportId"":""QID2#2_1""}"
moa2#2_2,Become capable of supporting a family financially,"{""ImportId"":""QID2#2_2""}"
moa2#2_3,Become capable of caring for children,"{""ImportId"":""QID2#2_3""}"
